Mutant	Formula	Neg_R1	Neg_R2	Neg_R3	Pos_R1	Pos_R2	Pos_R3
F30658	C5H8N2O5				8.159507566	4.74255114	4.749234549
F30658	C7H10O7	3.075736155	2.541515293	2.811244065			
F30658	C4H6O4	5.759166829	5.7034475	5.320700876			
F30658	C4H9NO3				12.55090775	7.872099719	9.712155755
F30658	C6H13O9P	162.1732551	150.9328073	144.2035108			
F30658	C6H14N2O2				14.89116665	13.43859644	12.8932619
F30658	C7H7NO2				3.266478505	1.798292832	2.375650494
F30658	C11H15N5O3S				46.08275735	30.21736711	33.85652732
F30658	C4H6O5	11.30465415	8.267629674	6.986262659			
F30658	C5H6O5	26.45922875	20.56566752	19.70624914			
F30658	C3H7NO2				241.3633241	188.464496	170.4183538
F30658	C7H14N2O3				11.92765762	11.75853932	9.434543012
F30658	C7H12O5	46.53124603	38.77725597	38.92737759			
F30658	C15H22N6O5S				6.864944232	4.937861163	4.590932633
F30658	C5H7NO3				35.61560196	28.71233804	23.95887147
F30658	C4H4O4	1.985171972	1.44743237	1.399415541			
F30658	C9H11NO3				25.19818514	22.90371485	17.29423277
F30658	C4H6O3	6.722064679	5.973423394	5.284393291			
F30658	C3H6O4	11.65520057	10.21008241	10.33992355			
F30658	C5H9NO4	859.5800218	708.0351628	723.5043334			
F30658	C6H11NO4				4.344314452	3.205814232	3.23877738
F30658	C9H16N2O5				12.86102217	9.987029391	10.25774814
F30658	C6H6O6	6.31006501	5.957008685	6.805508856			
F30658	C3H7NO3				935.3669917	1050.584255	994.9634681
F30658	C6H12O4	4.403607352	4.067873816	3.563522096			
F30658	C5H8O4	0.87010946	2.258425009	1.827685706			
F30658	C9H15N4O8P				8.200082228	8.527155708	10.53290993
F30658	C3H4O2	0.77700528	1.092452173	0.54171965			
F30658	C5H10O4	2.709661735	1.757864845	2.052771916			
F30658	C5H9NO5				29.43006429	23.21141265	21.16817206
F30658	C6H13NO2				332.2197899	272.3962714	285.8572674
F30658	C10H13N5O4				1.688555874	1.679060869	1.33650557
F30658	C7H10O4	4.657641462	3.79184981	4.321792792			
F30658	C5H9NO2				35.1563423	24.81883607	22.53542525
F30658	C11H12N2O2				8.447720327	6.029258288	6.430160072
F34365	C4H6O5	9.190612578	8.199499352	8.761672199			
F34365	C11H15N5O3S				25.7666742	26.63259277	25.80659051
F34365	C7H7NO2				3.853149656	2.393124056	6.560377183
F34365	C5H6O5	19.82246661	19.17961366	19.36179955			
F34365	C3H7NO2				150.0753325	159.0944208	162.7727664
F34365	C7H14N2O3				8.806653433	8.41357427	7.868675268
F34365	C7H12O5	21.72959615	21.05655357	24.32653086			
F34365	C5H8N2O5				8.920556925	9.880511672	9.023789624
F34365	C4H9NO3				18.44591559	8.921123308	10.87945283
F34365	C4H6O4	4.355968173	4.925772896	5.443653782			
F34365	C7H10O7	6.192890055	7.232446822	6.287994273			
